method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
nested_evidential_composition,0.54,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.55,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.56,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.57,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.58,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.59,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.6,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
cautious_evidence_fusion,0.01,31200.0,311.0,2.0,309.0,0.009967948717948719,6.41025641025641e-05,0.006430868167202572,0.009903846153846154
cautious_evidence_fusion,0.02,31200.0,624.0,29.0,595.0,0.02,0.0009294871794871795,0.046474358974358976,0.019070512820512822
cautious_evidence_fusion,0.03,31200.0,940.0,73.0,867.0,0.03012820512820513,0.00233974358974359,0.07765957446808511,0.02778846153846154
cautious_evidence_fusion,0.04,31200.0,1238.0,114.0,1124.0,0.03967948717948718,0.003653846153846154,0.09208400646203554,0.03602564102564103
cautious_evidence_fusion,0.05,31200.0,1559.0,156.0,1403.0,0.04996794871794872,0.005,0.10006414368184734,0.044967948717948715
